work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2024,MI,Other,Data Scientist,110000,USD,110000,US,0,US,M
2024,MI,FT,Other,240000,USD,240000,US,0,US,M
2024,MI,FT,Other,180000,USD,180000,US,0,US,M
2024,SE,FT,Business Intelligence Engineer,202800,USD,202800,US,0,US,M
2024,SE,FT,Business Intelligence Engineer,115000,USD,115000,US,0,US,M
2024,SE,FT,Data Architect,80000,GBP,100000,GB,0,GB,M
2024,SE,FT,Data Architect,45000,GBP,56250,GB,0,GB,M
2024,SE,FT,Data Analyst,90000,Other,69230,CA,0,CA,M
2024,SE,FT,Data Analyst,75000,Other,57692,CA,0,CA,M
2024,MI,FT,Data Analyst,112300,USD,112300,US,0,US,M
2024,MI,FT,Data Analyst,75100,USD,75100,US,0,US,M
2024,MI,FT,Other,178200,USD,178200,US,0,US,M
2024,MI,FT,Other,87000,USD,87000,US,0,US,M
2024,SE,FT,Data Scientist,138000,USD,138000,CA,0,CA,M
2024,SE,FT,Data Scientist,72000,USD,72000,CA,0,CA,M
2024,MI,FT,ML Engineer,252000,USD,252000,US,0,US,M
2024,MI,FT,ML Engineer,168000,USD,168000,US,0,US,M
2024,SE,FT,Other,140000,USD,140000,US,100,US,M
2024,SE,FT,Other,130000,USD,130000,US,100,US,M
2024,SE,FT,Machine Learning Engineer,100000,USD,100000,US,0,US,M
2024,MI,FT,Data Scientist,150650,USD,150650,US,0,US,M
2024,MI,FT,Data Scientist,106700,USD,106700,US,0,US,M
2024,SE,FT,Data Scientist,192300,USD,192300,US,0,US,M
2024,SE,FT,Data Scientist,107900,USD,107900,US,0,US,M
2024,MI,FT,Other,115000,USD,115000,US,100,US,M
2024,MI,FT,Other,95500,USD,95500,US,100,US,M
2024,MI,FT,Research Scientist,195000,USD,195000,US,100,US,M
2024,MI,FT,Research Scientist,160000,USD,160000,US,100,US,M
2024,SE,FT,Data Scientist,257600,USD,257600,US,0,US,M
2024,SE,FT,Data Scientist,146000,USD,146000,US,0,US,M
2024,EN,FT,Data Analyst,90000,USD,90000,CA,0,CA,M
2024,EN,FT,Data Analyst,70000,USD,70000,CA,0,CA,M
2024,SE,FT,Machine Learning Engineer,110000,EUR,122222,Other,100,Other,S
2024,SE,FT,Machine Learning Engineer,70000,EUR,77777,Other,100,Other,S
2024,SE,FT,Data Engineer,158200,USD,158200,US,0,US,M
2024,SE,FT,Data Engineer,74100,USD,74100,US,0,US,M
2024,SE,FT,Data Engineer,231400,USD,231400,US,0,US,M
2024,SE,FT,Data Engineer,170955,USD,170955,US,0,US,M
2024,MI,FT,Data Engineer,137000,USD,137000,US,0,US,M
2024,MI,FT,Data Engineer,60300,USD,60300,US,0,US,M
2024,MI,FT,Data Analyst,101098,USD,101098,US,0,US,M
2024,MI,FT,Data Analyst,59469,USD,59469,US,0,US,M
2024,MI,FT,Other,166363,USD,166363,US,0,US,M
2024,MI,FT,Other,103977,USD,103977,US,0,US,M
2024,SE,FT,Data Manager,166000,USD,166000,US,0,US,M
2024,SE,FT,Data Manager,104000,USD,104000,US,0,US,M
2024,SE,FT,Research Scientist,170400,USD,170400,US,0,US,M
2024,SE,FT,Research Scientist,123800,USD,123800,US,0,US,M
2024,MI,FT,Other,94763,USD,94763,US,100,US,M
2024,MI,FT,Other,67750,USD,67750,US,100,US,M
2024,SE,FT,Machine Learning Engineer,251250,USD,251250,US,0,US,M
2024,SE,FT,Machine Learning Engineer,120750,USD,120750,US,0,US,M
2024,MI,FT,Data Analyst,30000,EUR,33333,Other,0,Other,M
2024,MI,FT,Data Analyst,25800,EUR,28666,Other,0,Other,M
2024,SE,FT,Data Scientist,189615,USD,189615,US,0,US,M
2024,SE,FT,Data Scientist,150385,USD,150385,US,0,US,M
2024,SE,FT,Data Science,283800,USD,283800,US,0,US,M
2024,SE,FT,Data Science,234700,USD,234700,US,0,US,M
2024,MI,FT,Data Scientist,109000,USD,109000,US,100,US,M
2024,MI,FT,Data Scientist,93000,USD,93000,US,100,US,M
2024,MI,FT,Data Scientist,164000,USD,164000,US,0,US,M
2024,MI,FT,Data Scientist,131000,USD,131000,US,0,US,M
2024,MI,FT,Other,45607,GBP,57008,GB,0,GB,M
2024,MI,FT,Other,30921,GBP,38651,GB,0,GB,M
2024,MI,FT,Data Analyst,55000,GBP,68750,GB,100,GB,M
2024,MI,FT,Data Analyst,45000,GBP,56250,GB,100,GB,M
2024,SE,FT,Other,144300,USD,144300,US,0,US,M
2024,SE,FT,Other,104800,USD,104800,US,0,US,M
2024,SE,FT,Data Engineer,212750,USD,212750,US,0,US,M
2024,SE,FT,Data Engineer,157250,USD,157250,US,0,US,M
2024,EN,FT,Data Analyst,150000,USD,150000,US,100,US,M
2024,EN,FT,Data Analyst,129200,USD,129200,US,100,US,M
2024,SE,FT,Machine Learning Engineer,265000,USD,265000,US,0,US,M
2024,SE,FT,Machine Learning Engineer,170000,USD,170000,US,0,US,M
2024,SE,FT,Data Scientist,190000,USD,190000,US,100,US,M
2024,SE,FT,Data Scientist,155000,USD,155000,US,100,US,M
2024,SE,FT,Data Engineer,165000,USD,165000,US,100,US,M
2024,SE,FT,Data Engineer,100000,USD,100000,US,100,US,M
2024,MI,FT,Data Engineer,213900,USD,213900,US,100,US,M
2024,MI,FT,Data Engineer,126500,USD,126500,US,100,US,M
2024,SE,FT,Research Analyst,130000,USD,130000,US,0,US,M
2024,SE,FT,Research Analyst,104000,USD,104000,US,0,US,M
2024,SE,FT,Machine Learning Engineer,225000,USD,225000,US,100,US,M
2024,SE,FT,Machine Learning Engineer,66000,USD,66000,US,100,US,M
2024,SE,FT,ML Engineer,220000,USD,220000,US,0,US,M
2024,MI,FT,Business Intelligence Analyst,110000,USD,110000,US,0,US,M
2024,MI,FT,Business Intelligence Analyst,85000,USD,85000,US,0,US,M
2024,SE,FT,Machine Learning Engineer,282000,USD,282000,US,100,US,M
2024,SE,FT,Machine Learning Engineer,188000,USD,188000,US,100,US,M
2024,EX,FT,Data Science,219650,USD,219650,US,100,US,M
2024,EX,FT,Data Science,136000,USD,136000,US,100,US,M
2024,SE,FT,Data Science,210850,USD,210850,US,0,US,M
2024,SE,FT,Data Science,145400,USD,145400,US,0,US,M
2024,MI,FT,Data Analyst,143800,USD,143800,US,100,US,M
2024,MI,FT,Data Analyst,106300,USD,106300,US,100,US,M
2024,MI,FT,AI Engineer,150000,USD,150000,US,100,US,M
2024,MI,FT,AI Engineer,90200,USD,90200,US,100,US,M
2024,MI,FT,Data Engineer,140000,USD,140000,US,0,US,M
2024,MI,FT,Data Engineer,110000,USD,110000,US,0,US,M
2024,SE,FT,Data Analyst,140000,USD,140000,US,100,US,M
2024,SE,FT,Data Analyst,120000,USD,120000,US,100,US,M
2024,EN,Other,Other,800000,Other,117647,Other,0,Other,S
2024,MI,Other,Research Scientist,138000,USD,138000,US,0,US,M
2024,MI,Other,Research Scientist,86000,USD,86000,US,0,US,M
2024,MI,FT,Data Scientist,199700,USD,199700,US,0,US,M
2024,MI,FT,Data Scientist,70800,USD,70800,US,0,US,M
2024,SE,FT,Research Analyst,175000,USD,175000,US,0,US,M
2024,SE,FT,Data Architect,169847,USD,169847,US,100,US,M
2024,SE,FT,Data Architect,131631,USD,131631,US,100,US,M
2024,SE,FT,Machine Learning Scientist,277000,USD,277000,US,0,US,M
2024,SE,FT,Machine Learning Scientist,173000,USD,173000,US,0,US,M
2024,SE,FT,Machine Learning Engineer,264500,USD,264500,US,100,US,M
2024,SE,FT,Machine Learning Engineer,165600,USD,165600,US,100,US,M
2024,SE,FT,Other,194000,USD,194000,US,100,US,M
2024,SE,FT,Other,168000,USD,168000,US,100,US,M
2024,MI,FT,Data Engineer,90000,USD,90000,US,0,US,M
2024,MI,FT,Data Engineer,70000,USD,70000,US,0,US,M
2024,EN,FT,Data Scientist,137000,USD,137000,US,0,US,M
2024,EN,FT,Data Scientist,60400,USD,60400,US,0,US,M
2024,EX,FT,Data Science,197689,USD,197689,US,0,US,M
2024,EX,FT,Data Science,152311,USD,152311,US,0,US,M
2024,EX,FT,Research Analyst,209500,USD,209500,US,0,US,M
2024,EX,FT,Research Analyst,147500,USD,147500,US,0,US,M
2024,SE,FT,Data Engineer,170000,USD,170000,US,100,US,M
2024,SE,FT,Data Engineer,146000,USD,146000,US,100,US,M
2024,SE,FT,Machine Learning Engineer,220600,USD,220600,US,0,US,M
2024,SE,FT,Machine Learning Engineer,140100,USD,140100,US,0,US,M
2024,SE,FT,AI Engineer,236872,USD,236872,US,0,US,M
2024,SE,FT,AI Engineer,148045,USD,148045,US,0,US,M
2024,MI,FT,Other,143896,USD,143896,US,0,US,M
2024,MI,FT,Other,99208,USD,99208,US,0,US,M
2024,SE,FT,Applied Scientist,250000,USD,250000,US,0,US,M
2024,SE,FT,Applied Scientist,160000,USD,160000,US,0,US,M
2024,SE,FT,ML Engineer,200000,USD,200000,US,0,US,M
2024,SE,FT,ML Engineer,25000,USD,25000,US,0,US,M
2024,SE,FT,Data Engineer,137500,USD,137500,US,0,US,M
2024,SE,FT,Data Engineer,81500,USD,81500,US,0,US,M
2024,EX,FT,Data Science,209700,USD,209700,US,0,US,M
2024,EX,FT,Data Science,161300,USD,161300,US,0,US,M
2024,SE,FT,Data Scientist,249000,USD,249000,US,0,US,M
2024,SE,FT,Data Scientist,216000,USD,216000,US,0,US,M
2024,SE,FT,Data Engineer,170040,USD,170040,US,0,US,M
2024,SE,FT,Data Engineer,113360,USD,113360,US,0,US,M
2024,MI,FT,Other,178250,USD,178250,US,0,US,M
2024,MI,FT,Other,110500,USD,110500,US,0,US,M
2024,EN,FT,Data Analyst,83300,USD,83300,US,0,US,M
2024,EN,FT,Data Analyst,47500,USD,47500,US,0,US,M
2024,SE,FT,Data Scientist,200000,USD,200000,US,100,US,M
2024,SE,FT,Data Scientist,148500,USD,148500,US,100,US,M
2024,SE,FT,Data Architect,138000,USD,138000,US,0,US,M
2024,SE,FT,Data Architect,120000,USD,120000,US,0,US,M
2024,SE,FT,Research Scientist,250000,USD,250000,US,0,US,M
2024,SE,FT,Research Scientist,200000,USD,200000,US,0,US,M
2024,SE,FT,Data Engineer,110000,USD,110000,US,100,US,M
2024,SE,FT,Data Engineer,90000,USD,90000,US,100,US,M
2024,MI,FT,Data Engineer,142000,USD,142000,US,100,US,M
2024,MI,FT,Data Engineer,129500,USD,129500,US,100,US,M
2024,MI,FT,Other,210554,USD,210554,US,0,US,M
2024,MI,FT,Other,131596,USD,131596,US,0,US,M
2024,SE,FT,Data Engineer,170000,USD,170000,US,0,US,M
2024,SE,FT,Data Engineer,130000,USD,130000,US,0,US,M
2024,SE,FT,Data Engineer,159550,USD,159550,US,0,US,M
2024,SE,FT,Data Engineer,113000,USD,113000,US,0,US,M
2024,MI,FT,Data Engineer,135000,USD,135000,US,0,US,M
2024,MI,FT,Data Engineer,100000,USD,100000,US,0,US,M
2024,MI,FT,Machine Learning Engineer,245400,USD,245400,US,0,US,M
2024,MI,FT,Machine Learning Engineer,139000,USD,139000,US,0,US,M
2024,SE,FT,Data Engineer,190000,USD,190000,US,0,US,M
2024,SE,FT,Data Engineer,167000,USD,167000,US,0,US,M
2024,SE,FT,Machine Learning Engineer,304000,USD,304000,US,0,US,M
2024,SE,FT,Machine Learning Engineer,244000,USD,244000,US,0,US,M
2024,EN,FT,Data Analyst,50000,GBP,62500,US,0,US,M
2024,EN,FT,Data Analyst,44000,GBP,55000,US,0,US,M
2024,SE,FT,Data Scientist,247600,USD,247600,US,0,US,L
2024,SE,FT,Data Scientist,127300,USD,127300,US,0,US,L
2024,SE,FT,Data Science,210000,USD,210000,US,0,US,M
2024,SE,FT,Data Science,170000,USD,170000,US,0,US,M
2024,MI,FT,Applied Scientist,222200,USD,222200,US,0,US,L
2024,MI,FT,Applied Scientist,136000,USD,136000,US,0,US,L
2024,MI,FT,Research Analyst,200000,USD,200000,US,100,US,M
2024,MI,FT,Research Analyst,151300,USD,151300,US,100,US,M
2024,MI,FT,Data Scientist,110000,USD,110000,US,100,US,M
2024,MI,FT,Data Scientist,90000,USD,90000,US,100,US,M
2024,EN,FT,Data Analyst,156000,USD,156000,US,0,US,M
2024,EN,FT,Data Analyst,94000,USD,94000,US,0,US,M
2024,MI,FT,Research Scientist,212800,USD,212800,US,0,US,L
2024,MI,FT,Research Scientist,124100,USD,124100,US,0,US,L
2024,MI,FT,Analytics Engineer,195000,USD,195000,US,0,US,M
2024,MI,FT,Analytics Engineer,140000,USD,140000,US,0,US,M
2024,SE,FT,Other,199068,USD,199068,US,0,US,M
2024,SE,FT,Other,150000,USD,150000,US,0,US,M
2024,EX,FT,Data Science,250900,USD,250900,US,0,US,M
2024,EX,FT,Data Science,173100,USD,173100,US,0,US,M
2024,EN,FT,Data Scientist,60000,EUR,66666,Other,0,Other,M
2024,EN,FT,Data Scientist,40000,EUR,44444,Other,0,Other,M
2024,SE,FT,Data Engineer,138000,USD,138000,US,0,US,M
2024,SE,FT,Data Engineer,86000,USD,86000,US,0,US,M
2024,SE,FT,AI Engineer,186754,USD,186754,US,0,US,M
2024,SE,FT,AI Engineer,101000,USD,101000,US,0,US,M
2024,SE,FT,Data Scientist,234000,USD,234000,US,0,US,M
2024,MI,FT,Research Scientist,96200,USD,96200,US,100,US,M
2024,MI,FT,Research Scientist,69800,USD,69800,US,100,US,M
2024,SE,FT,Other,96200,USD,96200,US,100,US,M
2024,SE,FT,Other,69800,USD,69800,US,100,US,M
2024,SE,FT,Other,170000,USD,170000,US,0,US,M
2024,MI,FT,Data Engineer,157500,USD,157500,US,0,US,M
2024,MI,FT,Data Engineer,149900,USD,149900,US,0,US,M
2024,SE,FT,Data Analyst,169000,USD,169000,US,0,US,M
2024,SE,FT,Data Analyst,105000,USD,105000,US,0,US,M
2024,SE,FT,Data Engineer,148017,USD,148017,US,100,US,M
2024,SE,FT,Data Engineer,87069,USD,87069,US,100,US,M
2024,MI,FT,Other,106336,USD,106336,CA,0,CA,M
2024,MI,FT,Other,83150,USD,83150,CA,0,CA,M
2024,MI,FT,Other,130000,USD,130000,US,100,US,M
2024,MI,FT,Other,91000,USD,91000,US,100,US,M
2024,SE,FT,Data Analyst,149925,USD,149925,US,0,US,M
2024,SE,FT,Data Analyst,91260,USD,91260,US,0,US,M
2024,SE,FT,ML Engineer,185000,USD,185000,US,0,US,M
2024,SE,FT,Data Scientist,120000,USD,120000,US,100,US,M
2024,SE,FT,ML Engineer,209700,USD,209700,US,0,US,M
2024,SE,FT,ML Engineer,144600,USD,144600,US,0,US,M
2024,SE,FT,Data Architect,175000,USD,175000,US,0,US,M
2024,SE,FT,Data Architect,117000,USD,117000,US,0,US,M
2024,MI,FT,Data Analyst,77280,USD,77280,US,0,US,M
2024,MI,FT,Data Analyst,58000,USD,58000,US,0,US,M
2024,SE,FT,Data Engineer,170200,USD,170200,US,100,US,M
2024,SE,FT,Data Engineer,125800,USD,125800,US,100,US,M
2024,SE,FT,Data Architect,202730,USD,202730,US,100,US,M
2024,SE,FT,Data Architect,92118,USD,92118,US,100,US,M
2024,MI,FT,Data Analyst,125000,USD,125000,US,100,US,M
2024,MI,FT,Data Analyst,100000,USD,100000,US,100,US,M
2024,SE,FT,Applied Scientist,200000,USD,200000,US,100,US,M
2024,SE,FT,Applied Scientist,160000,USD,160000,US,100,US,M
2024,MI,FT,Data Scientist,157144,USD,157144,US,0,US,M
2024,MI,FT,Data Scientist,93101,USD,93101,US,0,US,M
2024,SE,FT,Data Scientist,209000,Other,160769,CA,0,CA,M
2024,SE,FT,Data Scientist,150000,Other,115384,CA,0,CA,M
2024,SE,FT,Applied Scientist,260000,USD,260000,US,0,US,L
2024,SE,FT,Machine Learning Engineer,189000,USD,189000,US,0,US,M
2024,SE,FT,Machine Learning Engineer,145400,USD,145400,US,0,US,M
2024,SE,FT,Data Architect,200070,USD,200070,CA,0,CA,M
2024,SE,FT,Data Architect,107730,USD,107730,CA,0,CA,M
2024,SE,FT,Data Engineer,154000,USD,154000,US,0,US,M
2024,SE,FT,Data Engineer,103000,USD,103000,US,0,US,M
2024,EX,FT,Other,223000,USD,223000,US,0,US,M
2024,EX,FT,Other,205000,USD,205000,US,0,US,M
2024,SE,FT,Data Analyst,209000,USD,209000,US,0,US,M
2024,SE,FT,Data Analyst,120000,USD,120000,US,0,US,M
2024,MI,FT,Machine Learning Engineer,200000,USD,200000,CA,0,CA,M
2024,MI,FT,Machine Learning Engineer,160000,USD,160000,CA,0,CA,M
2024,SE,FT,Data Scientist,252000,USD,252000,US,0,US,M
2024,SE,FT,Data Scientist,168000,USD,168000,US,0,US,M
2024,SE,FT,Other,250000,USD,250000,US,100,US,M
2024,SE,FT,Data Scientist,385000,USD,385000,US,100,US,M
2024,SE,FT,Data Scientist,130000,USD,130000,US,100,US,M
2024,MI,FT,Data Scientist,150000,USD,150000,US,0,US,M
2024,MI,FT,Data Scientist,127500,USD,127500,US,0,US,M
2024,EN,FT,Business Intelligence Analyst,142136,USD,142136,US,0,US,M
2024,EN,FT,Business Intelligence Analyst,123596,USD,123596,US,0,US,M
2024,MI,FT,Data Scientist,285200,USD,285200,US,100,US,M
2024,MI,FT,Data Scientist,168600,USD,168600,US,100,US,M
2024,SE,FT,Data Scientist,223500,USD,223500,US,0,US,M
2024,SE,FT,Data Scientist,109100,USD,109100,US,0,US,M
2024,EN,FT,Data Analyst,64500,USD,64500,US,0,US,M
2024,EN,FT,Data Analyst,46500,USD,46500,US,0,US,M
2024,SE,FT,Data Engineer,180500,USD,180500,US,0,US,M
2024,SE,FT,Data Engineer,96200,USD,96200,US,0,US,M
2024,MI,FT,Data Analyst,86940,USD,86940,US,0,US,M
2024,MI,FT,Data Analyst,66000,USD,66000,US,0,US,M
2024,SE,FT,Other,41418,GBP,51772,GB,0,GB,M
2024,SE,FT,Other,38223,GBP,47778,GB,0,GB,M
2024,EN,FT,Data Analyst,97000,USD,97000,US,0,US,M
2024,EN,FT,Data Analyst,62000,USD,62000,US,0,US,M
2024,MI,FT,Machine Learning Scientist,176000,USD,176000,US,0,US,M
2024,MI,FT,Machine Learning Scientist,72700,USD,72700,US,0,US,M
2024,MI,FT,Data Science,33966,GBP,42457,Other,0,Other,M
2024,MI,FT,Data Science,31396,GBP,39245,Other,0,Other,M
2024,EN,FT,Research Scientist,170500,USD,170500,US,100,US,M
2024,EN,FT,Research Scientist,123200,USD,123200,US,100,US,M
2024,SE,FT,Machine Learning Engineer,296400,USD,296400,US,0,US,M
2024,SE,FT,Machine Learning Engineer,159600,USD,159600,US,0,US,M
2024,SE,FT,Applied Scientist,158200,USD,158200,US,0,US,M
2024,SE,FT,Applied Scientist,79000,USD,79000,US,0,US,M
2024,SE,FT,Data Scientist,153000,USD,153000,Other,0,Other,M
2024,SE,FT,Data Scientist,135000,USD,135000,Other,0,Other,M
2024,MI,FT,Data Scientist,145000,USD,145000,US,0,US,M
2024,MI,FT,Data Scientist,125000,USD,125000,US,0,US,M
2024,EX,FT,Other,230000,USD,230000,US,100,US,M
2024,EX,FT,Other,200000,USD,200000,US,100,US,M
2024,SE,FT,Machine Learning Engineer,278000,USD,278000,US,0,US,M
2024,SE,FT,Machine Learning Engineer,196000,USD,196000,US,0,US,M
2024,SE,FT,Data Engineer,140000,USD,140000,US,100,US,M
2024,MI,FT,Data Scientist,45000,USD,45000,Other,100,Other,M
2024,MI,FT,Data Scientist,30000,USD,30000,Other,100,Other,M
2024,SE,FT,Data Scientist,218000,USD,218000,US,0,US,M
2024,SE,FT,Data Scientist,145000,USD,145000,US,0,US,M
2024,SE,FT,Data Analyst,100000,USD,100000,US,0,US,M
2024,SE,FT,Data Analyst,86220,USD,86220,US,0,US,M
2024,MI,FT,Data Engineer,190000,USD,190000,US,0,US,M
2024,MI,FT,Data Engineer,150000,USD,150000,US,0,US,M
2024,MI,FT,Other,110000,USD,110000,US,0,US,M
2024,MI,FT,Other,95000,USD,95000,US,0,US,M
2024,SE,FT,Data Science,110000,USD,110000,US,0,US,M
2024,SE,FT,Data Science,90000,USD,90000,US,0,US,M
2024,MI,FT,Data Analyst,80000,USD,80000,US,100,US,M
2024,MI,FT,Data Analyst,50000,USD,50000,US,100,US,M
2024,SE,FT,Data Analyst,180000,USD,180000,US,100,US,M
2024,SE,FT,Data Analyst,130000,USD,130000,US,100,US,M
2024,SE,FT,Data Engineer,200000,USD,200000,US,0,US,M
2024,SE,FT,Data Engineer,147000,USD,147000,US,0,US,M
2024,SE,FT,Data Analyst,148000,USD,148000,US,0,US,M
2024,SE,FT,Data Analyst,125000,USD,125000,US,0,US,M
2024,SE,FT,Data Scientist,150000,USD,150000,US,0,US,M
2024,SE,FT,Data Scientist,110000,USD,110000,US,0,US,M
2024,SE,FT,Data Analyst,245400,USD,245400,US,100,US,M
2024,SE,FT,Data Analyst,135800,USD,135800,US,100,US,M
2024,EX,FT,Other,175000,USD,175000,US,0,US,M
2024,SE,FT,Applied Scientist,249700,USD,249700,US,100,US,M
2024,SE,FT,Applied Scientist,156300,USD,156300,US,100,US,M
2024,SE,FT,Data Architect,190000,USD,190000,US,100,US,M
2024,SE,FT,Data Architect,140000,USD,140000,US,100,US,M
2024,SE,FT,Machine Learning Engineer,370000,USD,370000,US,0,US,M
2024,SE,FT,Machine Learning Engineer,220000,USD,220000,US,0,US,M
2024,EN,FT,Data Engineer,35000,EUR,38888,Other,0,Other,M
2024,EN,FT,Data Engineer,27000,EUR,30000,Other,0,Other,M
2024,SE,FT,Machine Learning Engineer,280000,USD,280000,US,100,US,M
2024,SE,FT,Machine Learning Engineer,184000,USD,184000,US,100,US,M
2024,MI,FT,Data Analyst,174000,USD,174000,US,0,US,M
2024,MI,FT,Data Analyst,132000,USD,132000,US,0,US,M
2024,SE,FT,Analytics Engineer,720000,USD,720000,US,0,US,M
2024,SE,FT,Analytics Engineer,170000,USD,170000,US,0,US,M
2024,SE,FT,Machine Learning Engineer,200000,USD,200000,US,0,US,M
2024,SE,FT,Data Scientist,111000,USD,111000,US,0,US,M
2024,SE,FT,Machine Learning Engineer,302900,USD,302900,US,0,US,M
2024,MI,FT,Data Engineer,179500,USD,179500,US,0,US,M
2024,MI,FT,Data Engineer,149500,USD,149500,US,0,US,M
2024,SE,FT,Data Architect,238000,USD,238000,US,100,US,M
2024,SE,FT,Data Architect,149000,USD,149000,US,100,US,M
2024,SE,FT,Data Scientist,190000,USD,190000,US,0,US,M
2024,SE,FT,Data Scientist,148000,USD,148000,US,0,US,M
2024,SE,FT,Other,162225,USD,162225,US,0,US,M
2024,SE,FT,Other,139050,USD,139050,US,0,US,M
2024,SE,FT,Data Engineer,105301,USD,105301,US,100,US,M
2024,SE,FT,Data Scientist,180000,USD,180000,US,0,US,M
2024,SE,FT,Data Scientist,139000,USD,139000,US,0,US,M
2024,SE,FT,Data Analyst,50000,GBP,62500,GB,0,GB,M
2024,SE,FT,Data Analyst,44000,GBP,55000,GB,0,GB,M
2024,SE,FT,Machine Learning Engineer,252000,USD,252000,US,0,US,M
2024,SE,FT,Machine Learning Engineer,168000,USD,168000,US,0,US,M
2024,MI,FT,Data Engineer,85000,USD,85000,US,0,US,M
2024,MI,FT,Data Engineer,74880,USD,74880,US,0,US,M
2024,SE,FT,Machine Learning Engineer,260000,USD,260000,US,0,US,M
2024,SE,FT,Data Engineer,150000,USD,150000,US,100,US,M
2024,MI,FT,Research Engineer,234000,USD,234000,US,0,US,M
2024,MI,FT,Research Engineer,176000,USD,176000,US,0,US,M
2024,MI,FT,Data Engineer,125000,USD,125000,US,100,US,M
2024,MI,FT,Data Engineer,100000,USD,100000,US,100,US,M
2024,SE,FT,ML Engineer,155000,USD,155000,US,0,US,M
2024,SE,FT,ML Engineer,100000,USD,100000,US,0,US,M
2024,SE,FT,Data Analyst,170000,USD,170000,CA,100,CA,M
2024,SE,FT,Data Analyst,130000,USD,130000,CA,100,CA,M
2024,MI,FT,Data Engineer,184000,USD,184000,US,0,US,M
2024,MI,FT,Data Engineer,123000,USD,123000,US,0,US,M
2024,MI,FT,Data Scientist,159550,USD,159550,US,0,US,M
2024,MI,FT,Data Scientist,113000,USD,113000,US,0,US,M
2024,SE,FT,Data Scientist,222300,USD,222300,Other,0,Other,M
2024,SE,FT,Data Scientist,119700,USD,119700,Other,0,Other,M
2024,SE,FT,ML Engineer,120000,USD,120000,US,0,US,M
2024,SE,FT,ML Engineer,75000,USD,75000,US,0,US,M
2024,SE,FT,Other,166000,USD,166000,US,0,US,M
2024,SE,FT,Other,110781,USD,110781,US,0,US,M
2024,MI,FT,Data Scientist,121500,USD,121500,US,100,US,M
2024,MI,FT,Data Scientist,88200,USD,88200,US,100,US,M
2024,EN,Other,Data Science,63162,USD,63162,US,0,US,M
2024,EN,Other,Data Science,37154,USD,37154,US,0,US,M
2024,SE,FT,Data Scientist,195800,USD,195800,US,0,US,M
